title;link;election_type;date;speaker;place;text;order;strategy1;strategy2
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Well, first of all, Margaret, diplomacy is not a dirty word, but I think that's something that Governor Walz just said is quite extraordinary. You, yourself, just said Iran is as close to a nuclear weapon today as they have ever been. And, Governor Walz, you blame Donald Trump, who has been the Vice President for the last three and a half years, and the answer is your running mate, not mine. Donald Trump consistently made the world more secure. Now, we talk about the sequence of events that led us to where we are right now, and you can't ignore October the 7th, which I appreciate Governor Walz bringing up. But when did Iran and Hamas and their proxies attack Israel? It was during the administration of Kamala Harris. So Governor Walz can criticize Donald Trump's tweets, but effective, smart diplomacy and peace through strength is how you bring stability back to a very broken world. Donald Trump has already done it once before. Ask yourself at home, when, when was the last time? I'm 40 years old. When was the last time that an American President didn't have a major conflict, breakout? The only answer is during the four years that Donald Trump was President.;11;presentation;accusation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Gentlemen, we have a lot to get to. Norah?;12;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Margaret, thank you. Let's turn now to Hurricane Helene. The storm could become one of the deadliest on record. More than 160 people are dead and hundreds more are missing. Scientists say climate change makes these hurricanes larger, stronger and more deadly because of the historic rainfall. Senator Vance, according to CBS News polling, seven in ten Americans and more than 60% of Republicans under the age of 45 favor the U.S. taking steps to try and reduce climate change. Senator, what responsibility would the Trump administration have to try and reduce the impact of climate change? I'll give you two minutes.;13;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Sure. So first of all, let's start with the hurricane because it's an unbelievable, unspeakable human tragedy. I just saw today, actually, a photograph of two grandparents on a roof with a six year old child, and it was the last photograph ever taken of them because the roof collapsed and those innocent people lost their lives. And I'm sure Governor Walz joins me in saying our hearts go out to those innocent people, our prayers go out to them. And we want as robust and aggressive as a federal response as we can get to save as many lives as possible. And then, of course, afterwards, to help the people in those communities rebuild. I mean, these are communities that I love, some of them I know very personally. In Appalachia, all across the Southeast, they need their government to do their job. And I commit that when Donald Trump is president again, the government will put the citizens of this country first when they suffer from a disaster. And Norah, you asked about climate change. I think this is a very important issue. Look, a lot of people are justifiably worried about all these crazy weather patterns. I think it's important for us, first of all, to say Donald Trump and I support clean air, clean water. We want the environment to be cleaner and safer, but one of the things that I've noticed some of our democratic friends talking a lot about is a concern about carbon emissions. This idea that carbon emissions drives all the climate change. Well, let's just say that's true, just for the sake of argument, so we're not arguing about weird science. Let's just say that's true. Well, if you believe that, what would you, what would you want to do? The answer is that you'd want to reshore as much American manufacturing as possible and you'd want to produce as much energy as possible in the United States of America because we're the cleanest economy in the entire world. What have Kamala Harris's policies actually led to? More energy production in China, more manufacturing overseas, more doing business in some of the dirtiest parts of the entire world. When I say that, I mean the amount of carbon emissions they're doing per unit of economic output. So if we actually care about getting cleaner air and cleaner water, the best thing to do is to double down and invest in American workers and the American people. And unfortunately, Kamala Harris has done exactly the opposite.;14;presentation;accusation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor Walz, you have two minutes to respond.;15;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;"Well, we got close to an agreement because all those things are happening. Look, first of all, it is a horrific tragedy with this hurricane, and my heart goes out to the folks that are down there in contact with the Governors. I serve as co-chair of the council of governors as we work together on these emergency managements. Governors know no partisanship. They work together to��� all of the Governors and the emergency responders are on the ground. Those happen on the front end. The federal government comes in, makes sure they're there, that we recover. But we're still in that phase where we need to make sure that they're staying there, staying focused. Now, look, coming back to the climate change issue, there's no doubt this thing roared onto the scene faster and stronger than anything we've seen. Senator Vance has said that there's a climate problem in the past, Donald Trump called it a hoax and then joked that these things would make more beachfront property to be able to invest in. What we've seen out of the Harris administration now, the Biden Harris administration is, we've seen this investment, we've seen massive investments, the biggest in global history that we've seen in the Inflation Reduction Act, has created jobs all across the country. Two thousand in Jeffersonville, Ohio. Taking the EV technology that we invented and making it here. Two hundred thousand jobs across the country. The largest solar manufacturing plant in North America sits in Minnesota. But my farmers know climate change is real. They've seen 500 year droughts, 500 year floods, back to back. But what they're doing is adapting, and this has allowed them to tell me, ""Look, I harvest corn, I harvest soybean, and I harvest wind."" We are producing more natural gas and more oil at any time than we ever have. We're also producing more clean energy. So the solution for us is to continue to move forward, that climate change is real. Reducing our impact is absolutely critical. But this is not a false choice. You can do that at the same time you're creating the jobs that we're seeing all across the country. That's exactly what this administration has done. We are seeing us becoming an energy superpower for the future, not just the current. And that's what absolutely makes sense. And then we start thinking about, ""How do we mitigate these disasters?""";16;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Thank you, Senator. I want to give you an opportunity to respond there. The Governor mentioned that President Trump has called climate change a hoax. Do you agree?;17;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;"Well, look, what the President has said is that if the Democrats, in particular, Kamala Harris and her leadership, if they really believe that climate change is serious, what they would be doing is more manufacturing and more energy production in the United States of America, and that's not what they're doing. So clearly, Kamala Harris herself doesn't believe her own rhetoric on this. If she did, she would actually agree with Donald Trump's energy policies. Now, something Governor Walz said, I think is important to touch upon, because when we talk about ""clean energy,"" I think that's a slogan that often the Democrats will use here. I'm talking, of course, about the Democratic leadership. And the real issue is that if you're spending hundreds of millions or even billions of dollars of American taxpayer money on solar panels that are made in China, number one, you're going to make the economy dirtier. We should be making more of those solar panels here in the United States of America.";18;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;We are. In Minnesota.;19;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Some of them are, Tim, but a lot of them are being made overseas in China, especially the components that go into those solar panels. So if you really want to make the environment cleaner, you've got to invest in more energy production. We haven't built a nuclear facility, I think one, in the past 40 years. Natural gas. We got to invest more in it. Kamala Harris has done the opposite. That's raised energy prices and also meant that we're doing worse by the climate.;20;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Senator, your time is up. Governor, would you like to respond?;21;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;"Well, look, we're producing more natural gas than we ever have. There's no moratorium on that. We're producing more oil. But the folks know, and my��� like I said, again, these are not liberal folks. These are not folks that are green, new deal folks. These are farmers that have been, drought one year, massive flooding the next year. They understand that it makes sense. Look, our number one export cannot be topsoil from erosion from these massive storms. We saw it in Minnesota this summer. And thinking about, ""How do we respond to that?"" we're thinking ahead on this and what Kamala Harris has been able to do in Minnesota, we're starting to weatherproof some of these things. The infrastructure law that was passed allows us to think about mitigation in the future. How do we make sure that we're protecting by burying our power lines? How do we make sure that we're protecting lakefronts and things that we're seeing more and more of. But to call it a hoax and to take the oil company executives to Mar-a-Lago, say, give me money for my campaign and I'll let you do whatever you want. We can be smarter about that. And an all above energy policy is exactly what she's doing, creating those jobs right here.";22;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor, your time is up. The overwhelming consensus among scientists is that the earth's climate is warming at an unprecedented rate. Margaret?;23;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, Norah. We're going to turn now to immigration. The crisis at the U.S.-Mexico border consistently ranks as one of the top issue for American voters. Senator Vance, your campaign is pledging to carry out the largest mass deportation plan in American history and to use the U.S. military to do so. Could you be more specific about exactly how this will work? For example, would you deport parents who have entered the U.S. illegally and separate them from any of their children who were born on U.S. soil? You have two minutes.;24;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;"So first of all, Margaret, before we talk about deportations, we have to stop the bleeding. We have a historic immigration crisis because Kamala Harris started and said that she wanted to undo all of Donald Trump's border policies. Ninety-four executive orders suspending deportations, decriminalizing illegal aliens, massively increasing the asylum fraud that exists in our system, that has opened the floodgates. And what it's meant is that a lot of fentanyl is coming into our country. I had a mother who struggled with opioid addiction and has gotten clean. I don't want people who are struggling with addiction to be deprived of their second chance because Kamala Harris let in fentanyl into our communities at record levels. So you've got to stop the bleeding. You've got to re-implement Donald Trump's border policies, build the wall, re-implement deportations. And that gets me to your point, Margaret, about what do we actually do? So we've got 20, 25 million illegal aliens who are here in the country. What do we do with them? I think the first thing that we do is we start with the criminal migrants. About a million of those people have committed some form of crime in addition to crossing the border illegally. I think you start with deportations on those folks, and then I think you make it harder for illegal aliens to undercut the wages of American workers. A lot of people will go home if they can't work for less than minimum wage in our own country. And by the way, that'll be really good for our workers who just want to earn a fair wage for doing a good day's work. And the final point, Margaret, is you ask about family separation. Right now in this country, Margaret, we have 320,000 children that the Department of Homeland Security has effectively lost. Some of them have been sex trafficked, some of them hopefully are at homes with their families, some of them have been used as drug trafficking mules. The real family separation policy in this country is, unfortunately, Kamala Harris's wide open southern border. And I'd ask my fellow Americans to remember when she came into office, she said she was going to do this. Real leadership would be saying, ""You know what? I screwed up. We're going to go back to Donald Trump's border policies."" I wish that she would do that, it would be good for all of us.";25;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;"Governor, do you care to respond to any of those specific allegations, including that the Vice President is, quote, ""letting in fentanyl and using kids as drug mules, among other things���""";26;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Yeah, well���;27;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;��� regarding children?;28;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;"The drug mule is not true. But I will say about this, about the fentanyl, because this is a crisis of this, the opioid crisis. And the good news on this is the last twelve months saw the largest decrease in opioid deaths in our nation's history, 30% decrease in Ohio. But there's still more work to do. But let's go back to this on immigration. Kamala Harris was the Attorney General of the largest state and a border state in California. She's the only person in this race who prosecuted transnational gangs for human trafficking and drug interventions. But look, we all want to solve this. Most of us want to solve this. And that is the United States Congress. That's the Border Patrol Agents, that's the Chamber of Commerce. That's most Americans out here. That's why we had the fairest and the toughest bill on immigration that this nation's seen. It was crafted by a conservative senator from Oklahoma, James Lankford. I know him. He's super conservative, but he's a man of principle, wants to get it done. Democrats and Republicans worked on this piece of legislation. The Border Patrol said, this is what we need in here. These are the experts. And the Chamber of Commerce in the Wall Street Journal said, pass this thing. Kamala Harris helped get there. Fifteen hundred new border agents, detection for drugs, DOJ money to speed up these adjudications on this. Just what America wants. But as soon as it was getting ready to pass and actually tackle this Donald Trump said ""No,"" told them to vote against it because it gives him a campaign issue. It gives him, what would Donald Trump talk about if we actually did some of these things? And they need to be done by the legislature. You can't just do this through the executive branch. So, look, we have the options to do this. Donald Trump had four years. He had four years to do this. And he promised you, America, how easy it would be. I'll build you a big, beautiful wall and Mexico will pay for it. Less than 2% of that wall got built and Mexico didn't pay a dime. But here we are again, nine years after he came down that escalator, dehumanizing people and telling them what he was going to do. As far as a deportation plan, at one point, Senator Vance said it was so unworkable as to be laughable. So that's where we're at. Pass the bill. She'll sign it.";29;accusation;presentation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Governor, your time is up. Senator, the question was, will you separate parents from their children, even if their kids are U.S. citizens? You have 1 minute.;30;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Margaret, my point is that we already have massive child separations thanks to Kamala Harris' open border. And I didn't accuse Kamala Harris of inviting drug mules, I said that she enabled the Mexican drug cartels to operate freely in this country, and we know that they use children as drug mules, and it is a disgrace and it has to stop. Look, I think what Tim said just doesn't pass the smell test. For three years, Kamala Harris went out bragging that she was going to undo Donald Trump's border policy. She did exactly that. We had a record number of illegal crossings. We had a record number of fentanyl coming into our country. And now, now that she's running for President, or a few months before, she says that somehow she got religion and cared a lot about a piece of legislation. The only thing that she did when she became the Vice President, when she became the appointed border czar, was to undo 94 Donald Trump executive actions that opened the border. This problem is leading to massive problems in the United States of America. Parents who can't afford health care, schools that are overwhelmed. It's got to stop, and it will when Donald Trump is President again.;31;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Senator, your time is up. Governor, what about our CBS News polling, which does show that a majority of Americans, more than 50%, support mass deportations?;32;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;"Look, we fix this issue with a bill that is necessary. But the issue on this is this is what happens when you don't want to solve it. You demonize it. And we saw this, and Senator Vance, and it surprises me on this, talking about and saying, ""I will create stories to bring attention to this."" That vilified a large number of people who were here legally in the community of Springfield. The Republican Governor said, ""It's not true. Don't do it."" There's consequences for this. There's consequences. We could come together. Senator Lankford did it. We could come together and solve this if we didn't let Donald Trump continue to make it an issue. And the consequences in Springfield were the Governor had to send state law enforcement to escort kindergarteners to school. I believe Senator Vance wants to solve this. But by standing with Donald Trump and not working together to find a solution, it becomes a talking point. And when it becomes a talking point like this, we dehumanize and villainize other human beings.";33;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Tim���;34;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Governor. Governor, your time is up. Senator, I'll give you 1 minute, but let me just ask you the question first. The governor has made the point, and I think as a sitting lawmaker, you know that Congress controls the purse strings and any funding. So you have said repeatedly that Donald Trump would, through executive action, solve this. Do you disagree that Congress controls the purse strings and would need to support many of the changes that you would actually want to implement? You have 1 minute.;35;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;"Look, Margaret, first of all, the gross majority of what we need to do at the southern border is just empowering law enforcement to do their job. I've been to the southern border more than our Borders are , Kamala Harris has been. And it's actually heartbreaking because the Border Patrol Agents, they just want to be empowered to do their job. Of course, additional resources would help. But most of this is about the President and the Vice President empowering our law enforcement to say, ""If you try to come across the border illegally, you've got to stay in Mexico, you've got to go back through proper channels."" Now, Governor Walz brought up the community of Springfield, and he's very worried about the things that I've said in Springfield. Look, in Springfield, Ohio and in communities all across this country, you've got schools that are overwhelmed, you've got hospitals that are overwhelmed, you have got housing that is totally unaffordable because we brought in millions of illegal immigrants to compete with Americans for scarce homes. The people that I'm most worried about in Springfield, Ohio, are the American citizens who have had their lives destroyed by Kamala Harris's open border. It is a disgrace, Tim. And I actually think, I agree with you. I think you want to solve this problem, but I don't think that Kamala Harris does.";36;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Senator, your time is up. Governor, you have 1 minute to respond.;37;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;"Yeah, well, it is law enforcement that asked for the bill. They helped craft it. They're the ones that supported it. It was��� that's because they know we need to do this. Look, this issue of continuing to bring this up, of not dealing with it, of blaming migrants for everything. On housing, we could talk a little bit about Wall Street speculators buying up housing and making them less affordable, but it becomes a blame. Look, this bill also gives the money necessary to adjudicate. I agree. It should not take seven years for an asylum claim to be done. This bill gets it done in 90 days. Then you start to make a difference in this and you start to adhere to what we know. American principles. I don't talk about my faith a lot, but Matthew 25:40 talks about, ""To the least amongst us, you do unto me."" I think that's true of most Americans. They simply want order to it. This bill does it. It's funded, it's supported by the people who do it, and it lets us keep our dignity about how we treat other people.";38;presentation;appeal
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, Governor. And just to clarify for our viewers, Springfield, Ohio does have a large number of Haitian migrants who have legal status. Temporary protected status. Norah.;39;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Well, Margaret, Margaret, I think it's important because���;40;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, senator. We have so much to get to.;41;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;We're going to turn out of the economy. Thank you.;42;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Margaret. The rules were that you guys were going to fact check, and since you're fact checking me, I think it's important to say what's actually going on. So there's an application called the CBP One app where you can go on as an illegal migrant, apply for asylum or apply for parole and be granted legal status at the wave of a Kamala Harris open border wand. That is not a person coming in, applying for a green card and waiting for ten years.;43;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, Senator.;44;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;That is the facilitation of illegal immigration, Margaret, by our own leadership. And Kamala Harris opened up that pathway.;45;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, Senator, for describing the legal process. We have so much to get to.;46;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Those laws have been in the book since 1990.;47;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, gentlemen. We want to have -;48;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;The CBP app has not been on the books since 1990. It's something that Kamala Harris created, Margaret.;49;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Gentlemen, the audience can't hear you because your mics are cut. We have so much we want to get to. Thank you for explaining the legal process. Norah?;50;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Thank you, Margaret. The economy is a top concern for voters. Each of your campaigns has released an economic plan, so let's talk about the specifics. Governor Walz, Vice President Harris unveiled a plan that includes billions in tax credits for manufacturing, housing and a renewed child tax credit. The Wharton School says your proposals will increase the nation's deficit by $1.2 trillion. How would you pay for that without ballooning the deficit? Governor, I'll give you two minutes.;51;-;
